geko_category_id,name,path,parent_geko_category_id
107040,Angle Grinders and Metal Processing,Power Tools\Angle Grinders and Metal Processing,
105611,MMA Devices,Welding Equipment and Accessories\MMA Devices,
107955,Abrasive Sheets,Abrasive Materials\Manual Sanding\Abrasive Sheets,
107784,Pneumatic Tool Sets,Pneumatics\Pneumatic Tool Sets,
107805,Punching and Sewing Machines,Cutting Tools\Punching and Sewing Machines,
107899,Battery Maintenance Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Battery Maintenance Tools,
107766,Comb Gauges for Threads,Measuring Tools\Comb Gauges for Threads,
107709,Tools for Electricians,Tools for Electricians,
107779,Pneumatic Staplers and Nailers,Pneumatics\Pneumatic Staplers and Nailers,
107769,Cross Line Lasers,Laser Tools\Cross Line Lasers,
107787,Service Carts,Tools for The Workshop and Garage\Service Carts,
107924,Modules With Tools,Tools for The Workshop and Garage\Tool Cabinets and Tool Sets\Modules With Tools,
106004,Work Gloves,Health and Safety Articles\Work Gloves,
106039,Cordless Power Tools,Power Tools\Cordless Power Tools,
107794,Gas Radiators,Heaters and Radiators\Gas Radiators,
107707,Heaters and Radiators,Heaters and Radiators,
107738,The Other,Tourist Equipment and Accessories\The Other,
107753,Pumps and Hydrophore Sets,Garden\Pumps and Hydrophore Sets,
106001,Hearing Protection,Health and Safety Articles\Hearing Protection,
106003,Protective Masks,Health and Safety Articles\Protective Masks,
106005,Knee Protection,Health and Safety Articles\Knee Protection,
106002,Eye Protection,Health and Safety Articles\Eye Protection,
107768,Rangefinders,Laser Tools\Rangefinders,
105999,Work Shoes,Health and Safety Articles\Work Shoes,
100018,Spare Parts,Spare Parts,
105652,Petrol Saws,Spare Parts\Petrol Saws,
107822,Straight Grinders,Power Tools\Angle Grinders and Metal Processing\Straight Grinders,
107041,Grinders for Plaster and Plaster,Power Tools\Grinders for Plaster and Plaster,
105842,Heat Guns,Power Tools\Heat Guns,
105659,Parts for Electric Heat Guns,Spare Parts\Parts for Electric Heat Guns,
107946,Wood Saws,Cutting Tools\Saws and Saw Blades\Wood Saws,
107947,Saws for Aerated Concrete,Cutting Tools\Saws and Saw Blades\Saws for Aerated Concrete,
106217,Bench Grinders,Power Tools\Bench Grinders,
105658,Parts for Knives for Cutting Styrofoam,Spare Parts\Parts for Knives for Cutting Styrofoam,
107819,Multifunctional Oscillating Tools,Power Tools\Wood Processing\Multifunctional Oscillating Tools,
107815,Orbital Sanders,Power Tools\Wood Processing\Orbital Sanders,
105661,Bench Drills,Spare Parts\Bench Drills,
