geko_category_id,name,path,parent_geko_category_id
107951,Oil and Oil-free Compressors,Pneumatics\Oil and Oil-free Compressors,
107775,Air Hammers and Accessories,Pneumatics\Air Hammers and Accessories,
107907,Oilers,Tools for The Workshop and Garage\Service Equipment\Tools for Oil Service\Oilers,
107883,Box Wrenches,Tools for The Workshop and Garage\General Mechanical Tools\Wrenches\Box Wrenches,
105300,The Other,Tools for Plumbers\The Other,
107717,Torque Wrenches,Tools for The Workshop and Garage\Torque Wrenches,
107725,Impact Sockets and Accessories,Tools for The Workshop and Garage\Socket Wrenches and Accessories\Impact Sockets and Accessories,
107718,Socket Wrenches and Accessories,Tools for The Workshop and Garage\Socket Wrenches and Accessories,
107728,Ratchets and Knobs,Tools for The Workshop and Garage\Socket Wrenches and Accessories\Ratchets and Knobs,
107729,Accessories,Tools for The Workshop and Garage\Socket Wrenches and Accessories\Accessories,
107922,Cabinets Without Equipment,Tools for The Workshop and Garage\Tool Cabinets and Tool Sets\Cabinets Without Equipment,
107923,Cabinets With Equipment,Tools for The Workshop and Garage\Tool Cabinets and Tool Sets\Cabinets With Equipment,
107926,Tool Boxes and Cases,Tools for The Workshop and Garage\Tool Cabinets and Tool Sets\Tool Boxes and Cases,
