productid,ean
631,5901477138041
632,5901477138058
633,5901477138065
634,5901477138072
635,5901477138089
636,5901477138096
637,5901477138102
638,5901477138119
639,5901477138126
640,5901477138133
641,5901477138140
642,5901477138157
643,5901477138164
644,5901477138171
645,5901477138188
646,5901477138195
647,5901477135941
648,5901477135958
649,5901477135965
650,5901477135972
651,5901477135989
652,5901477135996
653,5901477136009
655,5901477138232
656,5901477138249
657,5901477138256
658,5901477138263
659,5901477166723
660,5901477138287
661,5901477142192
662,5901477142208
668,5901477134562
670,5901477134586
671,5901477134593
677,5901477138782
678,5901477138799
679,5901477138805
680,5901477138812
681,5901477138829
682,5901477138836
683,5901477138843
684,5901477138850
685,5901477138867
686,5901477138874
687,5901477138881
688,5901477138898
689,5901477138904
690,5901477138911
691,5901477138928
692,5901477138935
693,5901477138942
694,5901477138959
695,5901477138966
696,5901477138973
697,5901477135088
698,5901477135095
699,5901477142215
700,5901477135101
701,5901477135118
702,5901477135125
703,5901477142222
704,5901477142239
705,5901477142246
706,5901477135903
707,5901477135910
708,5901477142321
709,5901477142338
710,5901477142345
711,5901477142352
712,5901477142369
713,5901477142376
714,5901477142383
715,5901477142390
716,5901477142406
717,5901477142413
718,5901477142420
719,5901477142437
720,5901477142444
721,5901477139888
722,5901477139895
723,5901477139901
724,5901477139918
725,5901477139925
726,5901477139932
727,5901477139949
728,5901477139956
729,5901477139963
730,5901477139970
731,5901477139987
732,5901477139994
733,5901477140006
734,5901477140013
735,5901477139536
736,5901477139543
737,5901477139550
738,5901477139567
739,5901477139574
740,5901477139581
741,5901477139598
742,5901477139604
743,5901477139635
744,5901477139611
745,5901477139628
746,5901477139642
747,5901477139659
748,5901477142451
749,5901477142468
750,5901477142475
751,5901477142482
752,5901477142499
753,5901497400357
754,5901497400838
755,5901497400012
756,5901497400197
757,5901497400845
758,5901497400852
797,5901477115394
799,5901477123382
807,5901477115448
810,5901477123184
812,5901477115424
816,5901477123177
817,5901477123375
821,5901477118500
822,5901477124853
823,5901477178924
824,5901477124860
825,5901477101267
826,5901477101274
827,5901477101281
828,5901477101298
829,5901477101304
830,5901477101311
831,5901477101328
832,5901477101335
833,5901477100932
834,5901477100949
835,5901477100994
836,5901477101007
837,5901477100765
938,5901477100734
839,5901477100772
841,5901477100789
843,5901477100796
845,5901477100802
848,5901477100833
851,5901477100857
853,5901477100864
854,5901477100871
855,5901477100888
857,5901477100895
858,5901477100901
860,5901477100918
862,5901477100956
863,5901477100963
864,5901477100970
866,5901477101014
868,5901477101021
869,5901477101038
870,5901477125713
872,5901477101045
875,5901477101076
877,5901477148040
878,5901477101090
879,5901477101106
880,5901477101113
881,5901477101120
882,5901477101137
883,5901477101144
884,5901477101151
885,5901477101168
886,5901477101175
887,5901477101182
888,5901477101199
889,5901477101205
890,5901477101212
891,5901477101229
892,5901477101236
893,5901477101243
894,5901477101250
895,5901477120510
896,5901477126062
897,5901477122057
898,5901477126079
899,5901477120534
900,5901477115196
901,5901477115202
902,5901477120541
909,5901477101670
911,5901477101618
918,5901477101649
919,5901477101656
921,5901477101687
922,5901477101694
923,5901477101717
924,5901477101724
1134,5901477103667
925,5901477101731
929,5901477127953
931,5901477100697
932,5901477100703
933,5901477100710
934,5901477100727
937,5901477116759
939,5901477101755
940,5901477101762
941,5901477101779
942,5901477101786
943,5901477101793
944,5901477101809
945,5901477101816
946,5901477101823
947,5901477101830
948,5901477101847
949,5901477101854
950,5901477101861
951,5901477101878
953,5901477101892
955,5901477101915
957,5901477101946
961,5901477101960
964,5901477101953
967,5901477101939
973,5901477101977
1135,5901477103650
1136,5901477103674
975,5901477101984
976,5901477102004
977,5901477102066
978,5901477102073
979,5901477102080
1137,5901477103698
980,5901477102110
981,5901477102127
982,5901477102134
983,5901477102103
984,5901477102141
985,5901477102059
986,5901477102097
988,5901477129308
989,5901477129315
990,5901477128486
991,5901477121982
992,5901477102158
1138,5901477103681
993,5901477129322
994,5901477127243
995,5901477102165
996,5901477125423
997,5901477125430
998,5901477102172
999,5901477102189
1000,5901477102196
1001,5901477102202
1002,5901477102219
1003,5901477102226
1004,5901477102240
1005,5901477102233
1006,5901477102257
1008,5901477118715
1009,5901477118722
1139,5901477117749
1010,5901477102264
1011,5901477102271
1012,5901477102288
1013,5901477102295
1014,5901477102301
1015,5901477102318
1140,5901477117756
1141,5901477117763
1016,5901477102332
1017,5901477102325
1020,5901477102363
1021,5901477102370
1022,5901477102387
1023,5901477102394
1142,5901477117770
1150,5901477103759
1024,5901477102400
1025,5901477102424
1026,5901477102417
1027,5901477102431
1028,5901477134425
