"permission_id","permission_name","description","created_at"
"1","view_products","Pode ver a lista de produtos e detalhes públicos.","2025-06-13 12:25:04.542993+00"
"2","view_price","Pode ver os preços dos produtos.","2025-06-13 12:25:04.542993+00"
"3","view_stock","Pode ver a quantidade de stock dos produtos.","2025-06-13 12:25:04.542993+00"
"4","create_order","Pode criar novas encomendas.","2025-06-13 12:25:04.542993+00"
"5","manage_orders","Pode ver e gerir todas as encomendas (aprovar, rejeitar, etc).","2025-06-13 12:25:04.542993+00"
"6","manage_products","Pode criar, editar e apagar produtos.","2025-06-13 12:25:04.542993+00"
"7","manage_users","Pode criar e gerir utilizadores e os seus cargos.","2025-06-13 12:25:04.542993+00"
"8","manage_settings","Pode gerir as configurações do site.","2025-06-13 12:25:04.542993+00"
