"imageid","ean","url","alt","is_primary"
"62","5901477130823","https://b2b.geko.pl/zasoby/import/7/78_0_35845.jpg","Imagem do produto","true"
"63","5901477130830","https://b2b.geko.pl/zasoby/import/7/79_0_35846.jpg","Imagem do produto","true"
"64","5901477140785","https://b2b.geko.pl/zasoby/import/8/80_0_37164.jpg","Imagem do produto","true"
"65","5901477140785","https://b2b.geko.pl/zasoby/import/8/80_1_37165.jpg","Imagem do produto","false"
"66","5901477140785","https://b2b.geko.pl/zasoby/import/8/80_1_37166.jpg","Imagem do produto","false"
"67","5901477140877","https://b2b.geko.pl/zasoby/import/8/89_0_36847.jpg","Imagem do produto","true"
"68","5901477140877","https://b2b.geko.pl/zasoby/import/8/89_1_36848.jpg","Imagem do produto","false"
"69","5901477140877","https://b2b.geko.pl/zasoby/import/8/89_1_36849.jpg","Imagem do produto","false"
"70","5901477140884","https://b2b.geko.pl/zasoby/import/9/90_0_36844.jpg","Imagem do produto","true"
"71","5901477140884","https://b2b.geko.pl/zasoby/import/9/90_1_36845.jpg","Imagem do produto","false"
"72","5901477140884","https://b2b.geko.pl/zasoby/import/9/90_1_36846.jpg","Imagem do produto","false"
"73","5901477140891","https://b2b.geko.pl/zasoby/import/9/91_0_36856.jpg","Imagem do produto","true"
"74","5901477140891","https://b2b.geko.pl/zasoby/import/9/91_1_36857.jpg","Imagem do produto","false"
"75","5901477140907","https://b2b.geko.pl/zasoby/import/9/92_0_36860.jpg","Imagem do produto","true"
"76","5901477140907","https://b2b.geko.pl/zasoby/import/9/92_1_36861.jpg","Imagem do produto","false"
"77","5901477140914","https://b2b.geko.pl/zasoby/import/9/93_0_36862.jpg","Imagem do produto","true"
"78","5901477140914","https://b2b.geko.pl/zasoby/import/9/93_1_36863.jpg","Imagem do produto","false"
"79","5901477140921","https://b2b.geko.pl/zasoby/import/9/94_0_36864.jpg","Imagem do produto","true"
"80","5901477140921","https://b2b.geko.pl/zasoby/import/9/94_1_36865.jpg","Imagem do produto","false"
"81","5901477140938","https://b2b.geko.pl/zasoby/import/9/95_0_36850.jpg","Imagem do produto","true"
"82","5901477140938","https://b2b.geko.pl/zasoby/import/9/95_1_36851.jpg","Imagem do produto","false"
"83","5901477140938","https://b2b.geko.pl/zasoby/import/9/95_1_36852.jpg","Imagem do produto","false"
"84","5901477140938","https://b2b.geko.pl/zasoby/import/9/95_1_36853.jpg","Imagem do produto","false"
"85","5901477140945","https://b2b.geko.pl/zasoby/import/9/96_0_36866.jpg","Imagem do produto","true"
"86","5901477140945","https://b2b.geko.pl/zasoby/import/9/96_1_36867.jpg","Imagem do produto","false"
"87","5901477140952","https://b2b.geko.pl/zasoby/import/9/97_0_36868.jpg","Imagem do produto","true"
"88","5901477140952","https://b2b.geko.pl/zasoby/import/9/97_1_36869.jpg","Imagem do produto","false"
"89","5901477140969","https://b2b.geko.pl/zasoby/import/9/98_0_36858.jpg","Imagem do produto","true"
"90","5901477140969","https://b2b.geko.pl/zasoby/import/9/98_1_36859.jpg","Imagem do produto","false"
"91","5901477140976","https://b2b.geko.pl/zasoby/import/9/99_0_36854.jpg","Imagem do produto","true"
"92","5901477140976","https://b2b.geko.pl/zasoby/import/9/99_1_36855.jpg","Imagem do produto","false"
"93","5901477133169","https://b2b.geko.pl/zasoby/import/1/100_0_15.jpg","Imagem do produto","true"
"94","5901477133176","https://b2b.geko.pl/zasoby/import/1/101_0_16.jpg","Imagem do produto","true"
"95","5901477133183","https://b2b.geko.pl/zasoby/import/1/102_0_17.jpg","Imagem do produto","true"
"96","5901477141270","https://b2b.geko.pl/zasoby/import/1/103_0_18.jpg","Imagem do produto","true"
"97","5901477141270","https://b2b.geko.pl/zasoby/import/1/103_1_19.jpg","Imagem do produto","false"
"98","5901477141270","https://b2b.geko.pl/zasoby/import/1/103_1_20.jpg","Imagem do produto","false"
"99","5901477141270","https://b2b.geko.pl/zasoby/import/1/103_1_21.jpg","Imagem do produto","false"
"100","5901477141287","https://b2b.geko.pl/zasoby/import/1/104_0_22.jpg","Imagem do produto","true"
"101","5901477141287","https://b2b.geko.pl/zasoby/import/1/104_1_23.jpg","Imagem do produto","false"
"102","5901477141287","https://b2b.geko.pl/zasoby/import/1/104_1_24.jpg","Imagem do produto","false"
