Categoria,ID_Categoria,Caminho_Hierarquia,Quantidade_Produtos,Exemplos_Produtos
General Tools,110012,Tools for The Workshop and Garage\General Tools,330,Cintas de Elevação Plana Dupla- CERTIFICADO ; Maçarico Metalico com isqueiro 190 Gr; Máscara de Soldador AUTOMATIC [AK00291]; Pistola de Selicone com Lâmina [AG00650]; Projector LED - 6500K
Cables and Extensions,110010,Tools for Electricians\Cables and Extensions,49,"Extensão Eléctrica 25Mts x 2.5mm Bobine [900338]; Extensão Eléctrica 3x1.5mm - Laranja ; Extensão Elétrica 25 mts x 2,5mm bobine em Metal; Raspador Leiria sem cabo; Pá Cabo de Madeira modelo Bufalo"
Trowels and Spatulas,110006,Construction and Renovation\Hand Tools\Trowels and Spatulas,25,Espatula em  ABS  - 250MM; Talocha para pavimentos INOX 500 MM -A5717; Talocha para estucador Inox 110x240MM; Espatula / Colher para Estucador Inox 100mm - A1704; Talocha ABS 140x280MM (3MM) P/ CAPOTO - A7901
Work Gloves,110002,Health and Safety Articles\Work Gloves,19,"Luva Nitrile Preta com nylon +grossa prof; Luva Nitrile azul 3/4"" grossa com Punho malha 10"" - 880127; Luva menage Amarela; Luva ANTI CORTE CINZA ; Luva em Espuma Nitrilo Preto - Respirável PROF."
Cutting Discs,110007,Abrasive Materials\Cutting Discs,14,"Disco Polimento com Velcro 125 MM x M14 [AG78901]; Disco corte Madeira, Plst, Gesso Cartonado 125x22.2mm; Disco diamantado Ceramica 115mm; Disco diamantado - especial Madeira 115mm; Disco segmentado profissional multiusos"
Protective Clothing,110003,Health and Safety Articles\Protective Clothing,10,Fato de chuva Reflector; Parka Impermiável Reflectora; Fato chuva em PU - profissional; Parka impermeável Reflector ; Blusão impermeável reflector
Cutting Tools,110011,Tools for The Workshop and Garage\Cutting Tools,7,Laminas pretas SK5 -18mm [10pcs] para Xizato -[890088/2]; Faca de alcatifa Profissional  5 Laminas Autoload; Lamina para Xizato 9mm; Xizato  Lâmina Preta 18MM em Blister; Lâminas para Xizato de 18mm
Polishing Materials,110008,Abrasive Materials\Polishing Materials,2,Esponja Polimento Preta 150MMx45MM-M14  -[AG00327]; Esponja Polimento Laranja 150MMx45MM-M14 -[AG00326] 
Abrasive Accessories,110009,Abrasive Materials\Accessories,1,Flange Preta Flexível 125 MM x M14 -[AG00324]
